algorithm,size,data_type,time_ms
bubble_sort,100,random,0.878600
selection_sort,100,random,0.377867
insertion_sort,100,random,0.392000
merge_sort,100,random,0.463233
quick_sort,100,random,0.256100
bubble_sort,500,random,20.535267
selection_sort,500,random,9.102000
insertion_sort,500,random,9.857967
merge_sort,500,random,1.458567
quick_sort,500,random,1.369367
bubble_sort,1000,random,75.086567
selection_sort,1000,random,36.059200
insertion_sort,1000,random,44.197200
merge_sort,1000,random,3.796733
quick_sort,1000,random,3.534867
bubble_sort,5000,random,1955.122367
selection_sort,5000,random,741.816467
insertion_sort,5000,random,1002.513500
merge_sort,5000,random,19.926200
quick_sort,5000,random,16.757433
bubble_sort,10000,random,7732.738700
selection_sort,10000,random,2939.655233
insertion_sort,10000,random,4063.042633
merge_sort,10000,random,40.970800
quick_sort,10000,random,35.210733
bubble_sort,100,sorted,0.114500
selection_sort,100,sorted,0.367133
insertion_sort,100,sorted,0.064000
merge_sort,100,sorted,0.219933
quick_sort,100,sorted,0.193933
bubble_sort,500,sorted,0.291900
selection_sort,500,sorted,8.670967
insertion_sort,500,sorted,0.284333
merge_sort,500,sorted,1.256233
quick_sort,500,sorted,1.007967
bubble_sort,1000,sorted,0.614433
selection_sort,1000,sorted,31.187667
insertion_sort,1000,sorted,0.591933
merge_sort,1000,sorted,2.573767
quick_sort,1000,sorted,2.581133
bubble_sort,5000,sorted,2.906800
selection_sort,5000,sorted,736.211800
insertion_sort,5000,sorted,2.938267
merge_sort,5000,sorted,15.186667
quick_sort,5000,sorted,12.518767
bubble_sort,10000,sorted,5.450300
selection_sort,10000,sorted,2924.564600
insertion_sort,10000,sorted,6.184900
merge_sort,10000,sorted,29.022800
quick_sort,10000,sorted,26.169433
bubble_sort,100,reversed,0.964667
selection_sort,100,reversed,0.370133
insertion_sort,100,reversed,0.932833
merge_sort,100,reversed,0.382833
quick_sort,100,reversed,0.200000
bubble_sort,500,reversed,24.883300
selection_sort,500,reversed,8.476700
insertion_sort,500,reversed,18.394467
merge_sort,500,reversed,1.179100
quick_sort,500,reversed,1.258033
bubble_sort,1000,reversed,97.185867
selection_sort,1000,reversed,32.270500
insertion_sort,1000,reversed,77.240933
merge_sort,1000,reversed,2.452600
quick_sort,1000,reversed,3.252433
bubble_sort,5000,reversed,2560.318900
selection_sort,5000,reversed,776.160167
insertion_sort,5000,reversed,1967.345667
merge_sort,5000,reversed,14.741233
quick_sort,5000,reversed,12.486400
bubble_sort,10000,reversed,10163.693900
selection_sort,10000,reversed,3096.414000
insertion_sort,10000,reversed,7917.917467
merge_sort,10000,reversed,29.779867
quick_sort,10000,reversed,25.315733
bubble_sort,100,almost_sorted,0.306767
selection_sort,100,almost_sorted,0.365467
insertion_sort,100,almost_sorted,0.110333
merge_sort,100,almost_sorted,0.312000
quick_sort,100,almost_sorted,0.297833
bubble_sort,500,almost_sorted,11.397133
selection_sort,500,almost_sorted,7.980333
insertion_sort,500,almost_sorted,1.590533
merge_sort,500,almost_sorted,1.454533
quick_sort,500,almost_sorted,1.165167
bubble_sort,1000,almost_sorted,43.745600
selection_sort,1000,almost_sorted,31.009633
insertion_sort,1000,almost_sorted,5.671867
merge_sort,1000,almost_sorted,3.289533
quick_sort,1000,almost_sorted,2.893167
bubble_sort,5000,almost_sorted,1136.430800
selection_sort,5000,almost_sorted,746.503333
insertion_sort,5000,almost_sorted,131.051200
merge_sort,5000,almost_sorted,18.148900
quick_sort,5000,almost_sorted,13.145400
bubble_sort,10000,almost_sorted,4466.960467
selection_sort,10000,almost_sorted,2928.847833
insertion_sort,10000,almost_sorted,566.147867
merge_sort,10000,almost_sorted,37.267667
quick_sort,10000,almost_sorted,27.796500
